sample_id	filename	coverage	total_gbp	download_url	s3_path	seq_plate_chemistry_version	library_id	instrument_model
HG00408	m84081_230721_175633_s1.hifi_reads.bc1002.bam	9.8	30.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1002.bam	s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1002.bam	C1	HG00408_lib1	Revio
HG00408	m84081_230721_182654_s2.hifi_reads.bc1002.bam	10.2	31.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1002.bam	s3://human-pangenomics/working/HPRC/HG00408/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1002.bam	C1	HG00408_lib1	Revio
HG00423	m84081_231112_030942_s3.hifi_reads.bc2078.bam	7.5	23.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_HiFi/m84081_231112_030942_s3.hifi_reads.bc2078.bam	s3://human-pangenomics/working/HPRC/HG00423/raw_data/PacBio_HiFi/m84081_231112_030942_s3.hifi_reads.bc2078.bam	C1	HG00423_lib1_m84081_231112_030942_s3	Revio
HG00544	m84081_231117_211338_s4.hifi_reads.bc2086.bam	10.9	33.6	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231117_211338_s4.hifi_reads.bc2086.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231117_211338_s4.hifi_reads.bc2086.bam	C1	HG00544_lib1_m84081_231117_211338_s4	Revio
HG00544	m84081_231119_032407_s4.hifi_reads.bc2086.bam	10.3	32.0	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231119_032407_s4.hifi_reads.bc2086.bam	s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/m84081_231119_032407_s4.hifi_reads.bc2086.bam	C1	HG00544_lib1_m84081_231119_032407_s4	Revio
HG00558	m84046_230519_231055_s2.hifi_reads.bc1016.bam	8.2	25.5	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230519_231055_s2.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230519_231055_s2.hifi_reads.bc1016.bam	C1	HG00558.HFSS_m84046_230519_231055_s2	Revio
HG00558	m84046_230602_213334_s2.hifi_reads.bc1016.bam	4.0	12.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230602_213334_s2.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230602_213334_s2.hifi_reads.bc1016.bam	C1	HG00558.HFSS_m84046_230602_213334_s2	Revio
HG00558	m84046_230623_210640_s1.hifi_reads.bc1016.bam	2.8	8.8	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230623_210640_s1.hifi_reads.bc1016.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230623_210640_s1.hifi_reads.bc1016.bam	C1	HG00558.HFSS_m84046_230623_210640_s1	Revio
HG00558	m84046_230720_182350_s1.hifi_reads.bc2004.bam	7.5	23.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2004.bam	s3://human-pangenomics/working/HPRC/HG00558/raw_data/PacBio_HiFi/m84046_230720_182350_s1.hifi_reads.bc2004.bam	C1	HG00558.HFSS2_m84046_230720_182350_s1	Revio
HG00597	m84081_230721_175633_s1.hifi_reads.bc1021.bam	11.0	34.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1021.bam	s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_175633_s1.hifi_reads.bc1021.bam	C1	HG00597_lib1	Revio
HG00597	m84081_230721_182654_s2.hifi_reads.bc1021.bam	11.4	35.3	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1021.bam	s3://human-pangenomics/working/HPRC/HG00597/raw_data/PacBio_HiFi/m84081_230721_182654_s2.hifi_reads.bc1021.bam	C1	HG00597_lib1	Revio
HG00609	m84081_231124_014115_s1.hifi_reads.bc2090.bam	11.0	34.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2090.bam	s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_014115_s1.hifi_reads.bc2090.bam	C1	HG00609_lib1_m84081_231124_014115_s1	Revio
HG00609	m84081_231124_021221_s2.hifi_reads.bc2090.bam	9.4	29.1	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2090.bam	s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_021221_s2.hifi_reads.bc2090.bam	C1	HG00609_lib1_m84081_231124_021221_s2	Revio
HG00609	m84081_231124_024327_s3.hifi_reads.bc2090.bam	10.4	32.2	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2090.bam	s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/m84081_231124_024327_s3.hifi_reads.bc2090.bam	C1	HG00609_lib1_m84081_231124_024327_s3	Revio
HG00621	m84081_231222_081401_s1.hifi_reads.bc2027.bam	2.1	6.4	https://s3-us-west-2.amazonaws.com/human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2027.bam	s3://human-pangenomics/working/HPRC/HG00621/raw_data/PacBio_HiFi/m84081_231222_081401_s1.hifi_reads.bc2027.bam	C1	HG00621_lib1_m84081_231222_081401_s1	Revio
